,run_id,omega_b,n_harmonics,theta_max_0,theta_max_1,theta_max_2,phi_angular_0,phi_angular_1,phi_angular_2,omega_h,amplitude_h_0,amplitude_h_1,amplitude_h_2,phi_horizontal_0,phi_horizontal_1,phi_horizontal_2,geometry_a,geometry_b,geometry_n,fill_level,fidelity,t_checkpoint,completed_at
29,bad4b066,2.8798,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.6,7,0.0,2026-06-19T07:04:49Z
30,f7e3604f,3.1416,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.3,7,0.0,2026-06-19T07:15:00Z
31,de826d34,3.1416,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.4,7,0.0,2026-06-19T07:17:43Z
32,4ee5207e,3.1416,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,0.0,2026-06-19T07:24:28Z
33,c7717783,3.1416,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.6,7,0.0,2026-06-19T07:25:32Z
34,a14cccb4,3.1416,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.7,7,0.0,2026-06-19T07:34:38Z
35,6ed74afc,3.4034,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.3,7,0.0,2026-06-19T07:37:27Z
36,6fb3570c,3.4034,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.4,7,0.0,2026-06-19T07:44:15Z
37,093d5c06,3.4034,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.5,7,0.0,2026-06-19T07:46:29Z
38,3e65b3aa,3.4034,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.6,7,0.0,2026-06-19T07:52:00Z
39,8f40f11d,3.4034,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.071,8.0,0.7,7,0.0,2026-06-19T07:55:38Z
