,kLa_10,kLa_25,kLa_50,kLa_inst_10,kLa_inst_25,kLa_inst_50,dtmix_0.50,dtmix_0.75,dtmix_0.95,vor_mean,vel_rms_qss,kla_fit_rmse_25,tau_95_qss,tau_98_qss,tau_100_qss,tau_95_max,tau_98_max,tau_100_max
0,108.86991735036376,80.23704449805251,94.08981794643192,93.66079104912701,89.48230794821514,98.0653513741519,7.235813587177699,13.813825939157459,25.654248172721054,0.7768484148734801,0.30296339962793845,0.002080476899985105,0.004436210861141873,0.007664880068999637,0.025367171179138417,0.006048440236712648,0.010060969377002424,0.043905313778999144
1,68.69227754509183,54.342616992002455,74.61491752427725,77.4214963886664,48.24369624375446,76.67882337629496,16.4450308799494,28.943254348710937,53.28190005103602,0.6916131826517216,0.2701830546112876,0.0009906573875566468,0.0037373256006189336,0.006470923096818789,0.02537468211393235,0.004989513983610836,0.008363859216207501,0.050607378672048585
2,43.39743059563122,36.17636059458047,47.692492293514285,51.1232250982876,38.34084954884568,48.569615461390015,16.4450308799494,24.99644693752307,62.49111734380772,0.747213074638431,0.2775696634284481,0.00030275911123109063,0.003374850776284719,0.00611868192114131,0.025119238110411706,0.004576600343314274,0.007516481330397936,0.04240327126126593
3,30.9002807033287,29.317147194405386,23.54813289316853,30.707691607611004,31.199467244757844,23.50062341097632,33.54786299509674,59.859912403015784,154.58329027152436,0.7037008725693661,0.2633519275506647,0.0003063807847107688,0.0031088553537891328,0.005761746411217622,0.02480211777694856,0.004372649575448201,0.007473510116913405,0.04302566776178641
4,29.529967634614277,25.800471584729706,25.911703584791162,33.24799067987936,27.95730480380189,29.882398311204966,42.75708028786844,84.8563593405389,190.10455697221502,0.7576440597676986,0.2689169400897154,0.0003575508830231784,0.0029227936104274594,0.0057136547623783795,0.02552713964614385,0.004090758414989681,0.007373903566261533,0.05185592714048651
5,89.71100466412182,88.74284389525552,91.65341839973797,93.4878221919958,92.68852631034828,95.11626522444195,7.329785192206003,12.40425186373324,20.297866686108947,0.7573378174770778,0.2936870157098327,0.0005350554387446426,0.004672914440391412,0.008478310294931277,0.025279262748938037,0.006231384861889808,0.01176521211727554,0.05593121912842295
6,55.225729015384246,46.32850385551125,61.212001508202704,55.351024713149485,43.87094559035679,52.900594085140234,16.351059274921113,27.62765187831499,63.71274820917539,0.6834339958078696,0.2658999370390225,0.0004821720334728301,0.004030257474121903,0.007100879280988833,0.025008544103985494,0.005258449182774966,0.00977711100963714,0.04934117629704373
7,40.46469648971874,34.66884339053869,36.427435577553894,39.14482790158633,31.73902844226528,35.31926350021907,17.478718535260477,28.755311138654353,69.35104451087233,0.7243995932886816,0.2658957514325962,0.0004240422011299827,0.0035288185199579924,0.006560719893184107,0.025474191969323254,0.0046776525081788905,0.008802700828098808,0.04625750022872084
8,25.15696573246452,30.043957205649765,24.647271514606143,25.34139443560233,29.580739884328285,26.214732256755997,30.44680002916346,54.69147412646028,107.12762973224183,0.7151072689952469,0.2552897658503862,8.774520993072765e-05,0.003275577643731872,0.006252853617175805,0.02481813669103231,0.004416056118219666,0.008458158761810261,0.04877280476286958
9,27.97809240447014,21.418655357096373,27.475681744374715,31.161900282171377,20.17682924402337,24.411050970805572,81.1914667444359,120.09571122614477,270.0743928512833,0.7376157374034686,0.26043880005609266,0.00018723724342082474,0.0030279005566503816,0.006214929414843673,0.025277788246514547,0.0040571425683101825,0.00848198672097384,0.045219843723231005
10,76.95712270122894,73.93448618905468,82.96615774640821,83.79481832932206,74.83356001210075,73.8010022266806,7.400263895977231,11.840422233563562,27.134300951916515,0.7555296439070588,0.2884281037239868,0.0005139128194970133,0.004796084944058659,0.009101725104880545,0.02571025077975796,0.006758223574739481,0.013513853630114217,0.04130808709387682
11,58.17058578187818,53.481585769234776,24.606158219392185,54.17532422073593,51.81709012844442,25.238718284096088,20.720738908736227,37.001319479886156,126.29783715801138,0.6974799536852005,0.25991225009890045,0.0003023102179851825,0.0040996351201916595,0.00748404949913387,0.02598269870510376,0.005552134356495652,0.011034295046962338,0.0441257789740083
