t,n_valid,speed_relerr,tau_corr,tau_sign_agree,tau_bulk_mean_relerr,ramp_confounded
5.41949,149217,1.92149e-05,0.999681,0.654269,0.000364991,1
5.47905,149204,8.69096e-05,0.979647,0.554978,0.00317943,1
5.5386,149209,5.89368e-05,0.999754,0.579181,0.00066722,1
5.59816,149214,4.02282e-05,0.999906,0.664086,-0.00112165,1
5.65771,149217,8.30915e-05,0.999865,0.628574,-0.000274112,1
5.71727,149216,2.96489e-05,0.999662,0.592899,-0.000269977,1
5.77682,149304,7.33498e-05,0.974845,0.529591,0.000901546,1
5.83638,149219,3.79256e-05,0.999823,0.592552,1.10829e-05,1
5.89593,149218,5.26863e-05,0.999944,0.641377,-0.00072849,1
5.95549,149213,5.80515e-05,0.999938,0.647176,0.000143091,1
6.01504,149217,3.99606e-05,0.999678,0.603403,-0.00102027,1
6.0746,149288,0.000113472,0.967326,0.662967,0.0105017,1
6.13415,149212,5.09284e-05,0.999656,0.619474,-0.000282522,1
6.19371,149220,4.35871e-05,0.999945,0.627496,-0.00107148,1
6.25326,149219,6.64101e-05,0.999961,0.645729,3.82947e-05,1
6.31282,149211,1.83127e-05,0.999772,0.622856,0.000317965,1
6.37237,149173,6.88273e-05,0.993774,0.630241,-0.000230119,1
6.43192,149209,2.99109e-05,0.99985,0.58719,0.00014861,1
6.49148,149214,4.94674e-05,0.999877,0.609574,0.000370628,1
6.55103,149220,5.21882e-05,0.999928,0.644619,-0.000244235,1
6.61059,149215,3.8012e-05,0.999882,0.5835,0.000206655,1
6.67014,149204,5.81835e-05,0.993962,0.654507,-0.00263963,1
6.7297,149216,3.39409e-05,0.99938,0.587564,-0.000384343,1
6.78925,149215,4.37375e-05,0.999895,0.614201,-0.000535162,1
6.84881,149223,4.55232e-05,0.999946,0.663316,-0.0049512,1
6.90836,149212,2.93877e-05,0.999854,0.605038,-0.000224825,1
6.96792,149212,4.73295e-05,0.996995,0.578767,0.00431111,1
7.02747,149209,3.06314e-05,0.999024,0.590447,-0.000277737,1
7.08703,149216,4.04443e-05,0.999961,0.592926,-0.000623538,1
7.14658,149223,5.28011e-05,0.999941,0.672584,-0.0061905,1
7.20614,149212,2.08538e-05,0.999806,0.610755,-0.00139914,1
7.26569,149210,5.98703e-05,0.999551,0.653341,-0.000514413,1
7.32525,149206,3.69706e-05,0.996814,0.596317,-0.00157182,1
7.3848,149212,3.25188e-05,0.999936,0.591822,-0.000413672,1
7.44436,149221,3.92936e-05,0.999969,0.780279,-0.00933437,1
7.50391,149218,1.77777e-05,0.99989,0.624791,0.000935663,1
7.56347,149209,4.13604e-05,0.998506,0.597109,-0.000583693,1
7.62302,149210,3.82033e-05,0.998719,0.593794,0.000897408,1
7.68258,149217,3.28031e-05,0.999835,0.590817,-0.000165713,1
7.74213,149221,5.41387e-05,0.999965,0.741819,-0.016168,1
7.80169,149217,3.1164e-05,0.999636,0.609508,-0.000475004,1
